2025.01.23 12:30:00   CLOSE_BASKET | LONG | p=0.90184 | lot=0.25 | reason=tp_10.0_pips net_pips=12.0
2025.01.23 17:15:00   PROBE_OPEN | LONG | p=0.90215 | lot=0.01 | gate_l=1 gate_s=0
2025.01.23 22:45:00   CLOSE_BASKET | LONG | p=0.90333 | lot=0.01 | reason=tp_10.0_pips net_pips=11.8
2025.01.24 02:30:00   PROBE_OPEN | LONG | p=0.90321 | lot=0.01 | gate_l=1 gate_s=0
2025.01.24 04:15:00   CLOSE_BASKET | LONG | p=0.90452 | lot=0.01 | reason=tp_10.0_pips net_pips=13.1
2025.01.24 12:15:00   PROBE_OPEN | LONG | p=0.90565 | lot=0.01 | gate_l=1 gate_s=0
2025.01.24 16:00:00   ADD | LONG | p=0.90327 | lot=0.24 | 
2025.01.24 17:15:00   CLOSE_BASKET | LONG | p=0.90471 | lot=0.25 | reason=tp_10.0_pips net_pips=13.4
2025.01.24 21:00:00   PROBE_OPEN | LONG | p=0.90563 | lot=0.01 | gate_l=1 gate_s=0
2025.01.27 15:15:00   ADD | LONG | p=0.90375 | lot=0.24 | 
2025.01.28 02:00:00   ADD | LONG | p=0.90185 | lot=0.36 | 
2025.01.28 06:15:00   ADD | LONG | p=0.89997 | lot=0.48 | 
2025.01.29 02:45:00   ADD | LONG | p=0.89795 | lot=0.60 | 
2025.01.31 07:15:00   CLOSE_BASKET | LONG | p=0.90137 | lot=1.69 | reason=tp_10.0_pips net_pips=11.5
2025.01.31 09:15:00   PROBE_OPEN | LONG | p=0.90024 | lot=0.01 | gate_l=1 gate_s=0
2025.01.31 11:30:00   CLOSE_BASKET | LONG | p=0.90127 | lot=0.01 | reason=tp_10.0_pips net_pips=10.3
2025.01.31 13:30:00   PROBE_OPEN | LONG | p=0.90030 | lot=0.01 | gate_l=1 gate_s=0
2025.01.31 16:15:00   CLOSE_BASKET | LONG | p=0.90257 | lot=0.01 | reason=tp_10.0_pips net_pips=22.7
2025.01.31 19:30:00   PROBE_OPEN | LONG | p=0.90032 | lot=0.01 | gate_l=1 gate_s=0
2025.01.31 20:30:00   CLOSE_BASKET | LONG | p=0.90131 | lot=0.01 | reason=tp_10.0_pips net_pips=9.9
2025.02.03 02:15:00   PROBE_OPEN | LONG | p=0.90366 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 02:30:00   ADD | LONG | p=0.90173 | lot=0.24 | 
2025.02.03 03:45:00   CLOSE_BASKET | LONG | p=0.90290 | lot=0.25 | reason=tp_10.0_pips net_pips=10.9
2025.02.03 04:15:00   PROBE_OPEN | LONG | p=0.90008 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 04:30:00   CLOSE_BASKET | LONG | p=0.90125 | lot=0.01 | reason=tp_10.0_pips net_pips=11.7
2025.02.03 04:45:00   PROBE_OPEN | LONG | p=0.90056 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 06:15:00   CLOSE_BASKET | LONG | p=0.90244 | lot=0.01 | reason=tp_10.0_pips net_pips=18.8
2025.02.03 13:00:00   PROBE_OPEN | LONG | p=0.90181 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 15:15:00   CLOSE_BASKET | LONG | p=0.90315 | lot=0.01 | reason=tp_10.0_pips net_pips=13.4
2025.02.03 17:00:00   PROBE_OPEN | LONG | p=0.90268 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 17:30:00   ADD | LONG | p=0.90083 | lot=0.24 | 
2025.02.03 18:00:00   CLOSE_BASKET | LONG | p=0.90242 | lot=0.25 | reason=tp_10.0_pips net_pips=15.2
2025.02.03 19:45:00   PROBE_OPEN | LONG | p=0.90107 | lot=0.01 | gate_l=1 gate_s=0
2025.02.03 23:45:00   ADD | LONG | p=0.89683 | lot=0.24 | 
2025.02.04 15:30:00   ADD | LONG | p=0.89475 | lot=0.36 | 
2025.02.04 20:15:00   CLOSE_BASKET | LONG | p=0.89695 | lot=0.61 | reason=tp_10.0_pips net_pips=12.8
2025.02.04 20:30:00   PROBE_OPEN | SHORT | p=0.89690 | lot=0.01 | gate_l=0 gate_s=1
2025.02.04 21:45:00   CLOSE_BASKET | SHORT | p=0.89579 | lot=0.01 | reason=tp_10.0_pips net_pips=11.1
2025.02.05 01:45:00   PROBE_OPEN | SHORT | p=0.89584 | lot=0.01 | gate_l=0 gate_s=1
2025.02.05 04:00:00   CLOSE_BASKET | SHORT | p=0.89500 | lot=0.01 | reason=tp_10.0_pips net_pips=8.4
2025.02.05 05:15:00   PROBE_OPEN | SHORT | p=0.89568 | lot=0.01 | gate_l=0 gate_s=1
2025.02.05 17:15:00   ADD | SHORT | p=0.89805 | lot=0.24 | 
2025.02.05 22:30:00   ADD | SHORT | p=0.90032 | lot=0.36 | 
