2026.01.20 11:30:00   PROBE_OPEN | LONG | p=0.93084 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.19
2026.01.20 18:00:00   CLOSE_BASKET | LONG | p=0.93216 | lot=0.06 | reason=tp_10.0_pips net_pips=13.2
2026.01.20 18:15:00   PROBE_OPEN | SHORT | p=0.93237 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.19
2026.01.20 20:45:00   CLOSE_BASKET | SHORT | p=0.93146 | lot=0.06 | reason=tp_10.0_pips net_pips=9.1
2026.01.20 21:00:00   PROBE_OPEN | LONG | p=0.93154 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.19
2026.01.21 08:45:00   CLOSE_BASKET | LONG | p=0.93272 | lot=0.06 | reason=tp_10.0_pips net_pips=11.8
2026.01.21 09:00:00   PROBE_OPEN | SHORT | p=0.93345 | lot=0.06 | gate_l=1 gate_s=1 base=0.06 wc_pct=19.19
2026.01.22 02:45:00   ADD | SHORT | p=0.93813 | lot=1.44 | 
2026.01.22 06:00:00   ADD | SHORT | p=0.94043 | lot=2.16 | 
2026.01.22 18:45:00   ADD | SHORT | p=0.94286 | lot=2.88 | 
2026.01.26 00:15:00   ADD | SHORT | p=0.94720 | lot=3.60 | 
2026.01.26 16:45:00   ADD | SHORT | p=0.94945 | lot=4.32 | 
2026.01.27 23:45:00   ADD | SHORT | p=0.95225 | lot=5.04 | 
2026.01.29 00:45:00   ADD | SHORT | p=0.95455 | lot=5.76 | 
2026.01.29 06:00:00   BLOCK_ADD | SHORT | p=0.95682 | lot=6.48 | dd_cap_fwd
2026.01.29 06:06:40   CLOSE_BASKET | SHORT | p=0.95733 | lot=25.26 | reason=emergency_dd net_pips=-86.9
2026.01.29 06:15:00   PROBE_OPEN | SHORT | p=0.95725 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.19
2026.01.29 09:30:00   CLOSE_BASKET | SHORT | p=0.95657 | lot=0.05 | reason=tp_10.0_pips net_pips=6.8
2026.01.29 09:45:00   PROBE_OPEN | LONG | p=0.95615 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.19
2026.01.29 12:45:00   ADD | LONG | p=0.95383 | lot=1.20 | 
2026.01.29 15:15:00   CLOSE_BASKET | LONG | p=0.95492 | lot=1.25 | reason=tp_10.0_pips net_pips=10.0
2026.01.29 16:00:00   PROBE_OPEN | SHORT | p=0.95496 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.17
2026.01.29 17:00:00   CLOSE_BASKET | SHORT | p=0.95344 | lot=0.05 | reason=tp_10.0_pips net_pips=15.2
2026.01.29 17:15:00   PROBE_OPEN | LONG | p=0.95055 | lot=0.05 | gate_l=1 gate_s=1 base=0.05 wc_pct=19.17
2026.01.29 17:30:00   ADD | LONG | p=0.94700 | lot=1.20 | 
