idx,open_dt,close_dt,dir,level,base,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
168,2026.03.26 10:45:00,2026.03.26 15:45:00,LONG,3,0.05,0.95581,0.95688,3.05,10.7,tp_10.0_pips,32.770,287.43
169,2026.03.26 18:30:00,2026.03.26 22:15:00,LONG,2,0.05,0.95372,0.95479,1.25,10.7,tp_10.0_pips,13.410,117.62
170,2026.03.26 22:45:00,2026.03.26 23:00:00,SHORT,1,0.05,0.95517,0.95558,0.05,-4.1,tp_10.0_pips,-0.205,-1.80
171,2026.03.26 23:30:00,2026.03.27 04:15:00,LONG,2,0.05,0.95299,0.95409,1.25,11.0,tp_10.0_pips,13.770,120.78
172,2026.03.27 04:30:00,2026.03.27 08:00:00,SHORT,2,0.05,0.95689,0.95580,1.25,10.9,tp_10.0_pips,13.600,119.29
173,2026.03.27 09:15:00,2026.03.30 07:00:00,LONG,3,0.05,0.95289,0.95408,3.05,11.9,tp_10.0_pips,36.185,317.38
174,2026.03.30 07:15:00,2026.03.30 10:00:00,SHORT,1,0.05,0.95412,0.95336,0.05,7.6,tp_10.0_pips,0.380,3.33
175,2026.03.30 10:30:00,2026.03.30 13:15:00,LONG,1,0.05,0.95311,0.95428,0.05,11.7,tp_10.0_pips,0.585,5.13
176,2026.03.30 13:30:00,2026.03.31 00:15:00,SHORT,1,0.05,0.95369,0.95477,0.05,-10.8,tp_10.0_pips,-0.540,-4.74
177,2026.03.31 00:30:30,2026.03.31 04:30:00,LONG,1,0.05,0.95447,0.95593,0.05,14.6,tp_10.0_pips,0.730,6.40
178,2026.03.31 04:45:00,2026.03.31 06:30:00,SHORT,1,0.05,0.95557,0.95482,0.05,7.5,tp_10.0_pips,0.375,3.29
179,2026.03.31 07:00:00,2026.03.31 10:45:00,LONG,1,0.05,0.95423,0.95625,0.05,20.2,tp_10.0_pips,1.010,8.86
180,2026.03.31 11:00:00,2026.03.31 13:45:00,SHORT,1,0.05,0.95649,0.95545,0.05,10.4,tp_10.0_pips,0.520,4.56
181,2026.03.31 14:00:00,2026.03.31 14:30:00,LONG,1,0.05,0.95542,0.95783,0.05,24.1,tp_10.0_pips,1.205,10.57
182,2026.03.31 14:45:00,2026.03.31 15:15:00,SHORT,1,0.05,0.95905,0.95836,0.05,6.9,tp_10.0_pips,0.345,3.03
183,2026.03.31 15:30:00,2026.03.31 16:15:00,SHORT,1,0.05,0.95921,0.95835,0.05,8.6,tp_10.0_pips,0.430,3.77
184,2026.03.31 17:00:00,2026.03.31 18:00:00,SHORT,1,0.05,0.95857,0.95592,0.05,26.5,tp_10.0_pips,1.325,11.62
185,2026.03.31 19:00:00,2026.03.31 19:45:00,LONG,1,0.05,0.95651,0.95951,0.05,30.0,tp_10.0_pips,1.500,13.16
186,2026.03.31 20:00:00,2026.04.01 06:00:00,SHORT,2,0.05,0.96165,0.96081,1.25,8.4,tp_10.0_pips,10.475,91.88
187,2026.04.01 06:15:00,2026.04.01 09:30:00,LONG,1,0.05,0.96069,0.96195,0.05,12.6,tp_10.0_pips,0.630,5.53
188,2026.04.01 09:45:00,2026.04.01 12:00:00,SHORT,2,0.05,0.96504,0.96413,1.25,9.1,tp_10.0_pips,11.375,99.77
189,2026.04.01 12:15:00,2026.04.01 16:00:00,SHORT,2,0.05,0.96572,0.96438,1.25,13.4,tp_10.0_pips,16.700,146.48
190,2026.04.01 16:15:00,2026.04.01 18:30:00,SHORT,1,0.05,0.96443,0.96313,0.05,13.0,tp_10.0_pips,0.650,5.70
191,2026.04.01 18:45:00,2026.04.02 17:45:00,LONG,5,0.05,0.95865,0.96164,8.45,29.9,tp_10.0_pips,252.675,2216.25
192,2026.04.02 18:00:00,2026.04.02 20:00:00,SHORT,1,0.05,0.96219,0.96136,0.05,8.3,tp_10.0_pips,0.415,3.64
193,2026.04.02 20:15:00,2026.04.03 00:15:00,SHORT,1,0.05,0.96136,0.96235,0.05,-9.9,tp_10.0_pips,-0.495,-4.34
194,2026.04.03 00:30:00,2026.04.03 03:45:00,LONG,1,0.05,0.96124,0.96230,0.05,10.6,tp_10.0_pips,0.530,4.65
195,2026.04.03 04:00:00,2026.04.03 12:15:00,SHORT,1,0.05,0.96206,0.96141,0.05,6.5,tp_10.0_pips,0.325,2.85
196,2026.04.03 12:30:00,2026.04.06 04:30:00,LONG,3,0.05,0.96067,0.96172,3.05,10.5,tp_10.0_pips,31.950,280.24
197,2026.04.06 04:45:00,2026.04.06 18:00:00,SHORT,2,0.05,0.96416,0.96327,1.25,8.9,tp_10.0_pips,11.120,97.53
198,2026.04.06 18:15:00,2026.04.07 11:15:00,LONG,1,0.05,0.96273,0.96419,0.05,14.6,tp_10.0_pips,0.730,6.40
199,2026.04.07 11:30:00,2026.04.09 00:30:00,SHORT,4,0.05,0.97488,0.97576,5.45,-8.8,tp_10.0_pips,-47.830,-419.52
200,2026.04.09 00:45:00,2026.04.09 15:00:00,LONG,2,0.05,0.97332,0.97453,1.25,12.1,tp_10.0_pips,15.185,133.19
201,2026.04.09 15:15:00,2026.04.10 07:45:00,SHORT,2,0.05,0.97760,0.97685,1.25,7.5,tp_10.0_pips,9.320,81.75
202,2026.04.10 08:00:00,2026.04.10 16:30:00,LONG,1,0.05,0.97714,0.97826,0.05,11.2,tp_10.0_pips,0.560,4.91
