idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
23,2025.01.23 17:15:00,2025.01.23 22:45:00,LONG,1,0.90215,0.90333,0.01,11.8,tp_10.0_pips,0.118,0.80
24,2025.01.24 02:30:00,2025.01.24 04:15:00,LONG,1,0.90321,0.90452,0.01,13.1,tp_10.0_pips,0.131,0.89
25,2025.01.24 12:15:00,2025.01.24 17:15:00,LONG,2,0.90337,0.90471,0.25,13.4,tp_10.0_pips,3.362,22.78
26,2025.01.24 21:00:00,2025.01.31 07:15:00,LONG,5,0.90022,0.90137,1.69,11.5,tp_10.0_pips,19.374,131.25
27,2025.01.31 09:15:00,2025.01.31 11:30:00,LONG,1,0.90024,0.90127,0.01,10.3,tp_10.0_pips,0.103,0.70
28,2025.01.31 13:30:00,2025.01.31 16:15:00,LONG,1,0.90030,0.90257,0.01,22.7,tp_10.0_pips,0.227,1.54
29,2025.01.31 19:30:00,2025.01.31 20:30:00,LONG,1,0.90032,0.90131,0.01,9.9,tp_10.0_pips,0.099,0.67
30,2025.02.03 02:15:00,2025.02.03 03:45:00,LONG,2,0.90181,0.90290,0.25,10.9,tp_10.0_pips,2.732,18.51
31,2025.02.03 04:15:00,2025.02.03 04:30:00,LONG,1,0.90008,0.90125,0.01,11.7,tp_10.0_pips,0.117,0.79
32,2025.02.03 04:45:00,2025.02.03 06:15:00,LONG,1,0.90056,0.90244,0.01,18.8,tp_10.0_pips,0.188,1.27
33,2025.02.03 13:00:00,2025.02.03 15:15:00,LONG,1,0.90181,0.90315,0.01,13.4,tp_10.0_pips,0.134,0.91
34,2025.02.03 17:00:00,2025.02.03 18:00:00,LONG,2,0.90090,0.90242,0.25,15.2,tp_10.0_pips,3.790,25.67
35,2025.02.03 19:45:00,2025.02.04 20:15:00,LONG,3,0.89567,0.89695,0.61,12.8,tp_10.0_pips,7.796,52.81
36,2025.02.04 20:30:00,2025.02.04 21:45:00,SHORT,1,0.89690,0.89579,0.01,11.1,tp_10.0_pips,0.111,0.75
37,2025.02.05 01:45:00,2025.02.05 04:00:00,SHORT,1,0.89584,0.89500,0.01,8.4,tp_10.0_pips,0.084,0.57
38,2025.02.05 05:15:00,2025.02.06 04:45:00,SHORT,3,0.89935,0.89859,0.61,7.6,tp_10.0_pips,4.641,31.44
39,2025.02.06 05:00:00,2025.02.07 04:15:00,LONG,1,0.89900,0.90009,0.01,10.9,tp_10.0_pips,0.109,0.74
40,2025.02.07 04:30:00,2025.02.07 15:30:00,SHORT,1,0.89997,0.89937,0.01,6.0,tp_10.0_pips,0.060,0.41
41,2025.02.10 00:45:00,2025.02.10 21:00:00,SHORT,2,0.89947,0.89863,0.25,8.4,tp_10.0_pips,2.108,14.28
42,2025.02.11 04:45:00,2025.02.11 08:00:00,LONG,1,0.89824,0.89932,0.01,10.8,tp_10.0_pips,0.108,0.73
43,2025.02.11 12:00:00,2025.02.12 19:00:00,LONG,3,0.89632,0.89774,0.61,14.2,tp_10.0_pips,8.674,58.76
44,2025.02.12 23:00:00,2025.02.13 21:15:00,LONG,3,0.89461,0.89625,0.61,16.4,tp_10.0_pips,9.988,67.66
45,2025.02.13 21:30:00,2025.02.25 13:00:00,SHORT,5,0.90365,0.90273,1.69,9.2,tp_10.0_pips,15.560,105.41
46,2025.02.25 13:15:00,2025.02.25 14:15:00,LONG,1,0.90298,0.90398,0.01,10.0,tp_10.0_pips,0.100,0.68
47,2025.02.25 17:15:00,2025.02.25 18:00:00,LONG,1,0.90374,0.90511,0.01,13.7,tp_10.0_pips,0.137,0.93
48,2025.02.26 03:00:00,2025.02.26 18:15:00,LONG,2,0.90557,0.90665,0.25,10.8,tp_10.0_pips,2.709,18.35
49,2025.02.26 20:00:00,2025.02.27 14:45:00,LONG,2,0.90253,0.90371,0.25,11.8,tp_10.0_pips,2.953,20.00
